epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.333,1.22496,3.3188,1.22665,0.52981,0.5801,0.5683,0.38191,1.12761,3.95156,1.17079,7.35e-05,7.35e-05,7.35e-05
2,62.6821,1.0608,1.16962,1.10809,0.8189,0.89686,0.93262,0.6576,1.01641,1.19354,1.08695,0.000148456,0.000148456,0.000148456
3,85.9118,1.01885,0.81723,1.08678,0.87644,0.91656,0.94399,0.6674,1.00237,0.79698,1.08808,0.000221898,0.000221898,0.000221898
4,107.561,0.98292,0.71224,1.07308,0.90165,0.93489,0.97367,0.68112,1.01762,0.72981,1.1206,0.000285268,0.000285268,0.000285268
5,131.332,0.99785,0.66725,1.07469,0.9406,0.96225,0.97852,0.69409,0.97503,0.58515,1.08716,0.000282358,0.000282358,0.000282358
6,166.62,0.9739,0.62546,1.08023,0.94026,0.95946,0.97894,0.70701,0.94555,0.54322,1.06911,0.000279447,0.000279447,0.000279447
7,189.121,0.93737,0.58629,1.05939,0.9623,0.97221,0.98249,0.69815,0.95892,0.51935,1.08327,0.000276536,0.000276536,0.000276536
8,210.12,0.92088,0.56274,1.05009,0.9505,0.98312,0.98136,0.70681,0.9544,0.50146,1.07956,0.000273626,0.000273626,0.000273626
9,236.021,0.90894,0.53313,1.05031,0.95132,0.97785,0.98433,0.70831,0.95129,0.49895,1.07882,0.000270715,0.000270715,0.000270715
10,261.111,0.92111,0.53381,1.05374,0.96182,0.96454,0.98015,0.71441,0.9353,0.49873,1.07088,0.000267805,0.000267805,0.000267805
11,287.973,0.8882,0.50743,1.03669,0.9646,0.97983,0.98369,0.7099,0.94962,0.47549,1.0864,0.000264894,0.000264894,0.000264894
12,307.252,0.88538,0.50693,1.03709,0.95568,0.97696,0.98236,0.7079,0.94556,0.4801,1.07981,0.000261983,0.000261983,0.000261983
13,329.429,0.89358,0.51527,1.03827,0.96842,0.9774,0.98565,0.72529,0.91847,0.45512,1.05941,0.000259073,0.000259073,0.000259073
14,358.314,0.87293,0.49343,1.0285,0.96824,0.98217,0.98402,0.72495,0.90948,0.45119,1.05568,0.000256162,0.000256162,0.000256162
15,388.544,0.86642,0.49493,1.02877,0.96345,0.98002,0.98621,0.72932,0.90945,0.44956,1.05714,0.000253252,0.000253252,0.000253252
16,419.554,0.86188,0.4802,1.02683,0.96041,0.98643,0.98855,0.73126,0.91412,0.43313,1.06159,0.000250341,0.000250341,0.000250341
17,442.337,0.85106,0.47568,1.0223,0.96532,0.98969,0.98531,0.73214,0.90172,0.42681,1.05135,0.00024743,0.00024743,0.00024743
18,472.463,0.8546,0.46617,1.02088,0.97403,0.97591,0.98891,0.71315,0.97048,0.43339,1.08195,0.00024452,0.00024452,0.00024452
19,494.129,0.85377,0.46241,1.02436,0.97765,0.98178,0.98821,0.73292,0.90701,0.42856,1.06236,0.000241609,0.000241609,0.000241609
20,525.118,0.85377,0.4495,1.02349,0.97238,0.98577,0.9894,0.73507,0.8963,0.4103,1.05657,0.000238699,0.000238699,0.000238699
21,551.244,0.84735,0.44422,1.01498,0.97121,0.98574,0.9851,0.72948,0.90673,0.41662,1.07309,0.000235788,0.000235788,0.000235788
22,573.955,0.82355,0.44098,1.008,0.97618,0.98454,0.99009,0.74019,0.88685,0.40456,1.05466,0.000232877,0.000232877,0.000232877
23,599.031,0.82017,0.43214,1.01081,0.97195,0.97956,0.98819,0.73266,0.90514,0.40085,1.05835,0.000229967,0.000229967,0.000229967
24,618.18,0.83845,0.4375,1.01416,0.97699,0.98399,0.99016,0.74318,0.89105,0.40023,1.04373,0.000227056,0.000227056,0.000227056
25,654.695,0.81147,0.42613,1.00625,0.97175,0.98196,0.98685,0.73936,0.88926,0.3996,1.04161,0.000224146,0.000224146,0.000224146
26,680.587,0.79449,0.42314,0.99854,0.9762,0.98411,0.98914,0.74403,0.88276,0.39592,1.03742,0.000221235,0.000221235,0.000221235
27,702.425,0.79296,0.41778,1.00002,0.97175,0.98484,0.98801,0.74156,0.8881,0.40566,1.04692,0.000218324,0.000218324,0.000218324
28,728.527,0.78242,0.41246,0.98804,0.98032,0.98638,0.98912,0.73773,0.90029,0.40656,1.05297,0.000215414,0.000215414,0.000215414
29,750.569,0.78727,0.42033,0.99029,0.9767,0.99085,0.98984,0.73894,0.88763,0.40095,1.05157,0.000212503,0.000212503,0.000212503
30,771.043,0.78622,0.41484,0.99281,0.97975,0.98522,0.9903,0.74807,0.87242,0.38627,1.05018,0.000209593,0.000209593,0.000209593
31,792.284,0.79109,0.40778,0.99186,0.97823,0.98781,0.98855,0.7392,0.89177,0.38628,1.04741,0.000206682,0.000206682,0.000206682
32,819.766,0.78589,0.40878,0.99341,0.97779,0.9928,0.99039,0.74185,0.89017,0.39133,1.04698,0.000203771,0.000203771,0.000203771
33,840.968,0.77171,0.40705,0.98698,0.97866,0.98525,0.9903,0.74074,0.89676,0.38838,1.04929,0.000200861,0.000200861,0.000200861
34,861.931,0.77668,0.40413,0.98811,0.97238,0.98742,0.98973,0.74536,0.87612,0.38788,1.04629,0.00019795,0.00019795,0.00019795
35,883.018,0.78402,0.40633,0.99026,0.97822,0.98709,0.99066,0.74909,0.87591,0.38424,1.04088,0.00019504,0.00019504,0.00019504
36,905.111,0.76081,0.39369,0.97967,0.97919,0.98959,0.99042,0.74785,0.86905,0.37482,1.04264,0.000192129,0.000192129,0.000192129
37,932.019,0.75648,0.3898,0.97677,0.97564,0.99019,0.9906,0.74193,0.87792,0.3758,1.04203,0.000189218,0.000189218,0.000189218
38,953.113,0.75621,0.3888,0.97785,0.97966,0.98949,0.99022,0.74379,0.88514,0.38551,1.05156,0.000186308,0.000186308,0.000186308
39,973.703,0.75006,0.38775,0.97717,0.97839,0.98756,0.99022,0.74505,0.87887,0.38783,1.04368,0.000183397,0.000183397,0.000183397
40,994.639,0.74274,0.37889,0.9746,0.98086,0.98611,0.98971,0.74235,0.89394,0.37651,1.05429,0.000180487,0.000180487,0.000180487
41,1016.44,0.73536,0.37858,0.97502,0.97809,0.98821,0.98667,0.74446,0.87646,0.37081,1.0391,0.000177576,0.000177576,0.000177576
42,1038.31,0.73133,0.37239,0.96711,0.97804,0.99103,0.99002,0.74745,0.87533,0.3728,1.04587,0.000174665,0.000174665,0.000174665
43,1059.37,0.73373,0.3752,0.96763,0.97969,0.98923,0.98993,0.74441,0.88116,0.37475,1.05336,0.000171755,0.000171755,0.000171755
44,1081.26,0.72666,0.3738,0.9667,0.97152,0.98997,0.9876,0.74468,0.87276,0.37288,1.05012,0.000168844,0.000168844,0.000168844
45,1102.76,0.70953,0.36876,0.96104,0.97936,0.99061,0.98931,0.75161,0.87294,0.36524,1.04258,0.000165934,0.000165934,0.000165934
46,1124.11,0.71462,0.36384,0.96661,0.97919,0.98705,0.98985,0.75028,0.86793,0.36656,1.04005,0.000163023,0.000163023,0.000163023
47,1151.46,0.71839,0.36227,0.96238,0.97891,0.99135,0.98885,0.74553,0.87237,0.36759,1.04185,0.000160112,0.000160112,0.000160112
48,1172.71,0.71148,0.35903,0.95683,0.98242,0.98861,0.98871,0.74371,0.89001,0.36176,1.05384,0.000157202,0.000157202,0.000157202
49,1194.46,0.70856,0.3536,0.96334,0.97872,0.99182,0.98969,0.74731,0.87896,0.35958,1.05006,0.000154291,0.000154291,0.000154291
50,1216.62,0.703,0.35382,0.9551,0.98245,0.99214,0.98901,0.74251,0.87511,0.35677,1.04361,0.000151381,0.000151381,0.000151381
51,1237.82,0.69119,0.34995,0.95141,0.98339,0.99308,0.98932,0.74499,0.88024,0.36075,1.0538,0.00014847,0.00014847,0.00014847
52,1258.58,0.70481,0.35335,0.95757,0.98298,0.98975,0.98999,0.7473,0.87057,0.35857,1.05162,0.000145559,0.000145559,0.000145559
53,1279.1,0.68728,0.34449,0.94925,0.97884,0.993,0.98971,0.74283,0.88418,0.36041,1.04987,0.000142649,0.000142649,0.000142649
54,1300.14,0.70932,0.35661,0.96155,0.98047,0.99091,0.99056,0.74252,0.88651,0.35772,1.04665,0.000139738,0.000139738,0.000139738
55,1321.91,0.67448,0.34589,0.94526,0.9801,0.9901,0.99125,0.74765,0.87657,0.35542,1.04633,0.000136828,0.000136828,0.000136828
56,1343.66,0.67189,0.33924,0.94514,0.97987,0.99289,0.98988,0.74739,0.87861,0.36024,1.05142,0.000133917,0.000133917,0.000133917
57,1364.28,0.67794,0.33734,0.9493,0.98109,0.98877,0.98925,0.74828,0.86988,0.35671,1.04938,0.000131006,0.000131006,0.000131006
58,1385.35,0.6662,0.33446,0.94395,0.97677,0.99065,0.98711,0.74947,0.86215,0.35376,1.04474,0.000128096,0.000128096,0.000128096
59,1406.58,0.66686,0.33183,0.94263,0.97901,0.99014,0.98903,0.74378,0.88634,0.35241,1.05684,0.000125185,0.000125185,0.000125185
60,1428.14,0.67458,0.33578,0.9493,0.98298,0.99243,0.98812,0.74061,0.88296,0.35472,1.05115,0.000122275,0.000122275,0.000122275
61,1450.23,0.65178,0.3307,0.93401,0.98099,0.99201,0.98645,0.73838,0.88558,0.35543,1.05709,0.000119364,0.000119364,0.000119364
62,1472.05,0.65066,0.32546,0.93599,0.98,0.99174,0.9887,0.74958,0.86876,0.35291,1.05263,0.000116453,0.000116453,0.000116453
63,1492.64,0.64323,0.32802,0.93561,0.98032,0.99188,0.98837,0.7503,0.85923,0.34415,1.04693,0.000113543,0.000113543,0.000113543
64,1513.5,0.64875,0.32831,0.93738,0.9743,0.98768,0.9853,0.74357,0.86835,0.3546,1.04911,0.000110632,0.000110632,0.000110632
65,1535.25,0.64599,0.32557,0.93817,0.97974,0.99103,0.98653,0.73911,0.87345,0.35176,1.05094,0.000107722,0.000107722,0.000107722
66,1556.77,0.63885,0.32215,0.93639,0.97785,0.99137,0.98704,0.74404,0.87368,0.35368,1.05547,0.000104811,0.000104811,0.000104811
67,1581.78,0.64019,0.32451,0.93811,0.97516,0.98929,0.98707,0.74181,0.87071,0.35458,1.05427,0.0001019,0.0001019,0.0001019
68,1607.92,0.62765,0.31998,0.92932,0.97988,0.99178,0.98905,0.74348,0.86687,0.34923,1.04939,9.89898e-05,9.89898e-05,9.89898e-05
69,1628.67,0.62874,0.31158,0.93174,0.98417,0.992,0.9891,0.74247,0.87076,0.34863,1.05291,9.60792e-05,9.60792e-05,9.60792e-05
70,1651.34,0.62912,0.31588,0.92939,0.97967,0.98951,0.9892,0.74475,0.87011,0.35108,1.05198,9.31686e-05,9.31686e-05,9.31686e-05
71,1674.98,0.61673,0.31281,0.92489,0.98277,0.99249,0.99008,0.7437,0.86969,0.34755,1.05645,9.0258e-05,9.0258e-05,9.0258e-05
72,1693.84,0.60592,0.30885,0.92375,0.98047,0.98984,0.98861,0.74227,0.86831,0.35274,1.05877,8.73474e-05,8.73474e-05,8.73474e-05
73,1712.43,0.61352,0.31025,0.92497,0.97958,0.99048,0.98939,0.74475,0.86719,0.34748,1.06108,8.44368e-05,8.44368e-05,8.44368e-05
74,1731.85,0.60253,0.30224,0.92022,0.98338,0.98848,0.98945,0.74401,0.87325,0.34501,1.06112,8.15262e-05,8.15262e-05,8.15262e-05
75,1750.97,0.60135,0.31156,0.92103,0.98371,0.99059,0.98897,0.74605,0.87555,0.35034,1.06043,7.86156e-05,7.86156e-05,7.86156e-05
76,1776.33,0.60466,0.30533,0.91745,0.98023,0.99407,0.98787,0.74858,0.8661,0.34031,1.05833,7.5705e-05,7.5705e-05,7.5705e-05
77,1798,0.60275,0.30311,0.92193,0.98171,0.99154,0.989,0.74778,0.87693,0.34338,1.06415,7.27944e-05,7.27944e-05,7.27944e-05
78,1819.48,0.59237,0.30111,0.91747,0.97743,0.99114,0.98897,0.74424,0.88211,0.34378,1.06281,6.98838e-05,6.98838e-05,6.98838e-05
79,1839.66,0.59983,0.30187,0.92066,0.97859,0.99156,0.98878,0.74552,0.87459,0.34593,1.05876,6.69732e-05,6.69732e-05,6.69732e-05
80,1861.38,0.57991,0.28964,0.9119,0.98288,0.98693,0.98863,0.746,0.86925,0.34444,1.05986,6.40626e-05,6.40626e-05,6.40626e-05
81,1882.96,0.58733,0.29463,0.91316,0.98414,0.99015,0.98877,0.7495,0.87451,0.3417,1.06491,6.1152e-05,6.1152e-05,6.1152e-05
82,1904.05,0.57262,0.28965,0.90891,0.9847,0.99044,0.98793,0.74508,0.87502,0.34129,1.06556,5.82414e-05,5.82414e-05,5.82414e-05
83,1924.62,0.57196,0.28851,0.90821,0.98318,0.99002,0.98848,0.7465,0.87504,0.34002,1.06761,5.53308e-05,5.53308e-05,5.53308e-05
84,1945.13,0.56146,0.28444,0.9017,0.98223,0.98689,0.9893,0.74932,0.86855,0.34577,1.06494,5.24202e-05,5.24202e-05,5.24202e-05
85,1965.3,0.56123,0.28615,0.90205,0.9838,0.98914,0.98825,0.74449,0.87345,0.34333,1.0667,4.95096e-05,4.95096e-05,4.95096e-05
86,1985.8,0.56952,0.28924,0.90825,0.98282,0.99107,0.98804,0.74609,0.87209,0.34252,1.06432,4.6599e-05,4.6599e-05,4.6599e-05
87,2007.55,0.55053,0.28133,0.90184,0.98493,0.98921,0.98844,0.74554,0.87147,0.33952,1.06327,4.36884e-05,4.36884e-05,4.36884e-05
88,2029.37,0.55241,0.27922,0.90136,0.98425,0.98944,0.98906,0.74848,0.86923,0.3416,1.06333,4.07778e-05,4.07778e-05,4.07778e-05
89,2050.11,0.55735,0.28407,0.90393,0.98164,0.99155,0.98922,0.74365,0.87566,0.34215,1.0713,3.78672e-05,3.78672e-05,3.78672e-05
90,2070.72,0.55838,0.28095,0.90146,0.98303,0.99002,0.98826,0.74577,0.8727,0.34161,1.06746,3.49566e-05,3.49566e-05,3.49566e-05
91,2094.88,0.4806,0.23304,0.86676,0.98306,0.98924,0.98809,0.74325,0.87942,0.34199,1.0712,3.2046e-05,3.2046e-05,3.2046e-05
92,2116.57,0.47542,0.22807,0.86546,0.98263,0.99054,0.98719,0.74646,0.87706,0.34236,1.0701,2.91354e-05,2.91354e-05,2.91354e-05
93,2137.15,0.45967,0.22414,0.86217,0.98085,0.99014,0.98673,0.74592,0.87467,0.33838,1.06907,2.62248e-05,2.62248e-05,2.62248e-05
94,2157.61,0.45917,0.22136,0.85847,0.98171,0.99114,0.98736,0.74489,0.87599,0.34189,1.07296,2.33142e-05,2.33142e-05,2.33142e-05
95,2178.16,0.45361,0.22072,0.85561,0.98041,0.99107,0.98698,0.74491,0.87404,0.33987,1.07253,2.04036e-05,2.04036e-05,2.04036e-05
96,2198.61,0.45307,0.22206,0.85673,0.98197,0.98923,0.98671,0.74519,0.87573,0.34134,1.07389,1.7493e-05,1.7493e-05,1.7493e-05
97,2218.8,0.44108,0.21639,0.85604,0.98269,0.98971,0.98687,0.7444,0.87899,0.34177,1.07619,1.45824e-05,1.45824e-05,1.45824e-05
98,2239.03,0.44188,0.21765,0.85463,0.98264,0.98996,0.98706,0.74437,0.8801,0.34119,1.07844,1.16718e-05,1.16718e-05,1.16718e-05
99,2259.23,0.44018,0.21726,0.85323,0.98159,0.99013,0.98711,0.74319,0.87639,0.33913,1.07805,8.7612e-06,8.7612e-06,8.7612e-06
100,2279.83,0.43947,0.21622,0.85985,0.98078,0.99183,0.98726,0.74494,0.87672,0.3396,1.07866,5.8506e-06,5.8506e-06,5.8506e-06
