epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1116,1.33785,4.78227,1.27375,0.02577,0.22006,0.01917,0.01152,1.25622,4.63651,1.15387,3.528e-05,3.528e-05,3.528e-05
2,58.2343,1.18947,3.05264,1.1528,0.43387,0.55412,0.49625,0.32989,1.18676,3.02943,1.14365,7.27723e-05,7.27723e-05,7.27723e-05
3,69.9869,1.10024,1.55111,1.08422,0.71904,0.77076,0.79774,0.55407,1.02918,1.43072,1.06501,0.000109508,0.000109508,0.000109508
4,86.0882,1.03763,1.04895,1.06144,0.88034,0.85302,0.91095,0.64447,1.00144,0.99422,1.04513,0.000145487,0.000145487,0.000145487
5,103.176,0.99915,0.8604,1.04851,0.89902,0.90809,0.94462,0.65834,1.0128,0.83139,1.06321,0.000180709,0.000180709,0.000180709
6,123.224,0.99392,0.79334,1.05056,0.92542,0.91745,0.95722,0.68331,0.97481,0.70921,1.03809,0.000215174,0.000215174,0.000215174
7,142.436,0.96197,0.71436,1.03509,0.93225,0.94788,0.96644,0.69781,0.95945,0.67226,1.02638,0.000248883,0.000248883,0.000248883
8,155.352,0.94656,0.66591,1.03358,0.9215,0.95404,0.97037,0.69329,0.95648,0.63163,1.03204,0.000273626,0.000273626,0.000273626
9,172.665,0.94683,0.63605,1.03438,0.9454,0.92787,0.96345,0.69451,0.93806,0.63496,1.0354,0.000270715,0.000270715,0.000270715
10,185.826,0.92885,0.59713,1.02828,0.94034,0.95522,0.97053,0.70449,0.93414,0.57557,1.02261,0.000267805,0.000267805,0.000267805
11,198.288,0.91783,0.59371,1.02046,0.93654,0.94609,0.96744,0.69993,0.94566,0.57023,1.03913,0.000264894,0.000264894,0.000264894
12,212.027,0.91059,0.56427,1.02015,0.95794,0.9365,0.97195,0.71469,0.9208,0.53426,1.0159,0.000261983,0.000261983,0.000261983
13,223.096,0.89435,0.5585,1.00856,0.95045,0.96575,0.97597,0.7198,0.91872,0.50763,1.01732,0.000259073,0.000259073,0.000259073
14,250.874,0.88928,0.5311,1.01311,0.95432,0.9648,0.97614,0.71476,0.92218,0.52726,1.02221,0.000256162,0.000256162,0.000256162
15,264.815,0.89102,0.53286,1.01092,0.95369,0.95719,0.97888,0.7157,0.91994,0.51482,1.02205,0.000253252,0.000253252,0.000253252
16,277.326,0.88385,0.5232,1.00695,0.97107,0.9718,0.9787,0.70936,0.9345,0.49605,1.03357,0.000250341,0.000250341,0.000250341
17,290.615,0.8892,0.5171,1.00586,0.96158,0.97145,0.97826,0.71575,0.92706,0.48787,1.0281,0.00024743,0.00024743,0.00024743
18,306.086,0.8686,0.50617,0.9996,0.97238,0.97141,0.98439,0.72567,0.90806,0.47565,1.0121,0.00024452,0.00024452,0.00024452
19,323.15,0.86257,0.50688,1.00087,0.96342,0.96199,0.97989,0.72054,0.92416,0.47312,1.01826,0.000241609,0.000241609,0.000241609
20,337.011,0.85457,0.49195,0.99827,0.96267,0.9743,0.98395,0.71635,0.94177,0.4775,1.03131,0.000238699,0.000238699,0.000238699
21,348.973,0.83476,0.481,0.98772,0.96746,0.9659,0.98334,0.72363,0.90994,0.45572,1.01862,0.000235788,0.000235788,0.000235788
22,364.799,0.83693,0.47894,0.98881,0.962,0.96487,0.97743,0.72737,0.90126,0.4504,1.01122,0.000232877,0.000232877,0.000232877
23,377.339,0.83186,0.46964,0.98438,0.96832,0.97168,0.98282,0.72696,0.91146,0.45103,1.01706,0.000229967,0.000229967,0.000229967
24,394.648,0.83798,0.47576,0.99071,0.96536,0.95674,0.97935,0.73132,0.90468,0.44145,1.01597,0.000227056,0.000227056,0.000227056
25,406.955,0.82377,0.45954,0.98871,0.96887,0.96558,0.98116,0.73681,0.89758,0.4376,1.00896,0.000224146,0.000224146,0.000224146
26,418.434,0.8215,0.45864,0.98504,0.97139,0.97292,0.9818,0.72786,0.91466,0.4307,1.01862,0.000221235,0.000221235,0.000221235
27,438.765,0.80637,0.4499,0.98104,0.96943,0.97526,0.98236,0.72484,0.91852,0.43408,1.02153,0.000218324,0.000218324,0.000218324
28,450.67,0.8133,0.44959,0.97999,0.96882,0.97713,0.98465,0.73021,0.90458,0.43125,1.01599,0.000215414,0.000215414,0.000215414
29,461.823,0.82123,0.44402,0.98107,0.9756,0.97156,0.98598,0.72959,0.91307,0.43588,1.0205,0.000212503,0.000212503,0.000212503
30,481.748,0.79249,0.44188,0.9765,0.97341,0.98394,0.98539,0.73361,0.89516,0.42397,1.01509,0.000209593,0.000209593,0.000209593
31,493.687,0.7833,0.43166,0.97085,0.96534,0.97572,0.97889,0.73397,0.8948,0.41599,1.01945,0.000206682,0.000206682,0.000206682
32,506.885,0.77737,0.42341,0.97331,0.96721,0.98423,0.98005,0.7333,0.89836,0.42953,1.0247,0.000203771,0.000203771,0.000203771
33,524.427,0.76604,0.42539,0.96239,0.97656,0.97792,0.98239,0.73727,0.89195,0.41592,1.02155,0.000200861,0.000200861,0.000200861
34,540.892,0.78228,0.43007,0.97026,0.97231,0.97671,0.98199,0.73155,0.88646,0.42352,1.01496,0.00019795,0.00019795,0.00019795
35,555.54,0.77057,0.42444,0.96723,0.9635,0.97927,0.98011,0.72759,0.8899,0.42716,1.01803,0.00019504,0.00019504,0.00019504
