epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,927.41,0.72037,0.36966,0.95891,0.98272,0.98863,0.98643,0.73626,0.90964,0.38394,1.07557,0.000174665,0.000174665,0.000174665
43,949.404,0.7227,0.36835,0.96265,0.97985,0.98707,0.98435,0.73278,0.90376,0.39028,1.06856,0.000171755,0.000171755,0.000171755
44,971.064,0.72247,0.36512,0.96099,0.98478,0.98889,0.99002,0.73568,0.92144,0.38013,1.07121,0.000168844,0.000168844,0.000168844
45,991.837,0.71093,0.36234,0.95772,0.9816,0.98983,0.99024,0.73932,0.90727,0.38054,1.07341,0.000165934,0.000165934,0.000165934
46,1015.81,0.71512,0.36111,0.96404,0.983,0.98486,0.99035,0.73932,0.89793,0.3744,1.06707,0.000163023,0.000163023,0.000163023
47,1045.26,0.70555,0.35745,0.9506,0.98033,0.98879,0.98832,0.7378,0.91169,0.37882,1.06799,0.000160112,0.000160112,0.000160112
48,1071.97,0.70497,0.3557,0.9514,0.97629,0.98457,0.98527,0.74258,0.89914,0.37523,1.06553,0.000157202,0.000157202,0.000157202
49,1093.26,0.7109,0.35752,0.95388,0.98077,0.97834,0.98572,0.73135,0.91991,0.38856,1.07705,0.000154291,0.000154291,0.000154291
50,1119.36,0.6997,0.34822,0.94618,0.97751,0.97959,0.98168,0.73641,0.90235,0.37801,1.07191,0.000151381,0.000151381,0.000151381
51,1141.07,0.70023,0.35247,0.95159,0.97826,0.98242,0.98319,0.73911,0.893,0.36953,1.06237,0.00014847,0.00014847,0.00014847
52,1161.97,0.68162,0.34239,0.94417,0.98218,0.98492,0.98696,0.74074,0.90716,0.37907,1.06841,0.000145559,0.000145559,0.000145559
53,1182.74,0.68674,0.34131,0.94708,0.98566,0.98422,0.98988,0.74269,0.91163,0.37263,1.06502,0.000142649,0.000142649,0.000142649
54,1205.04,0.66872,0.33112,0.93559,0.98033,0.98846,0.98635,0.74329,0.90002,0.367,1.06756,0.000139738,0.000139738,0.000139738
55,1227.52,0.66919,0.34155,0.945,0.98688,0.98526,0.98864,0.7419,0.89996,0.36857,1.06975,0.000136828,0.000136828,0.000136828
56,1257.96,0.68004,0.34262,0.94353,0.98329,0.98076,0.98718,0.74057,0.91393,0.37808,1.07328,0.000133917,0.000133917,0.000133917
57,1278.74,0.66558,0.33838,0.93885,0.98056,0.98261,0.98456,0.74022,0.90036,0.37953,1.07775,0.000131006,0.000131006,0.000131006
58,1300.6,0.66636,0.33809,0.93834,0.98683,0.9844,0.98739,0.7395,0.89716,0.35828,1.06875,0.000128096,0.000128096,0.000128096
59,1321.93,0.65209,0.33344,0.93368,0.98297,0.98458,0.98833,0.73932,0.90816,0.36938,1.07463,0.000125185,0.000125185,0.000125185
