epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9063,1.23171,3.39393,1.23013,0.58355,0.58188,0.6015,0.40112,1.16943,3.91058,1.16259,7.35e-05,7.35e-05,7.35e-05
2,65.0631,1.05903,1.15229,1.09593,0.85246,0.87784,0.92805,0.6515,1.00331,1.1216,1.07966,0.000148456,0.000148456,0.000148456
3,87.4278,1.01002,0.7936,1.06693,0.90292,0.92567,0.95383,0.66176,1.00888,0.74531,1.07625,0.000221898,0.000221898,0.000221898
4,118.549,1.00604,0.71693,1.06585,0.90167,0.93088,0.95325,0.66907,1.00749,0.68869,1.07225,0.000285268,0.000285268,0.000285268
5,144.724,0.96453,0.64932,1.04859,0.9467,0.93296,0.9728,0.68583,0.98742,0.58381,1.07838,0.000282358,0.000282358,0.000282358
6,178.327,0.96418,0.61536,1.04909,0.94037,0.92411,0.95799,0.67635,1.03185,0.58939,1.08875,0.000279447,0.000279447,0.000279447
7,203.023,0.93482,0.56825,1.03597,0.91642,0.91922,0.95517,0.65007,1.0766,0.60354,1.12125,0.000276536,0.000276536,0.000276536
8,225.241,0.92814,0.54592,1.03479,0.96348,0.96854,0.98231,0.70872,0.95563,0.48826,1.05945,0.000273626,0.000273626,0.000273626
9,246.753,0.91734,0.53435,1.03194,0.94683,0.95869,0.97559,0.71212,0.92522,0.48566,1.03575,0.000270715,0.000270715,0.000270715
10,276.985,0.89877,0.52148,1.02678,0.95428,0.96445,0.98085,0.7215,0.92273,0.48131,1.04045,0.000267805,0.000267805,0.000267805
11,302.724,0.90169,0.50942,1.02237,0.95649,0.96783,0.97822,0.69682,1.00395,0.49085,1.07934,0.000264894,0.000264894,0.000264894
12,323.788,0.89884,0.50828,1.021,0.96027,0.97381,0.98121,0.71788,0.92352,0.46214,1.04248,0.000261983,0.000261983,0.000261983
13,345.131,0.88212,0.50176,1.01536,0.95187,0.96341,0.97701,0.71558,0.93947,0.48395,1.05486,0.000259073,0.000259073,0.000259073
14,374.781,0.87128,0.48412,1.01714,0.96057,0.97346,0.97976,0.71333,0.9643,0.447,1.06689,0.000256162,0.000256162,0.000256162
15,401.434,0.87841,0.48143,1.02478,0.97138,0.97449,0.98515,0.72613,0.91699,0.43447,1.03007,0.000253252,0.000253252,0.000253252
16,426.402,0.86093,0.4705,1.01139,0.97201,0.9776,0.97988,0.72597,0.91368,0.41986,1.03022,0.000250341,0.000250341,0.000250341
17,445.819,0.85338,0.45777,0.99982,0.9721,0.98241,0.98655,0.72374,0.92352,0.41731,1.04757,0.00024743,0.00024743,0.00024743
18,470.864,0.85795,0.45515,1.00794,0.97316,0.97727,0.98401,0.72961,0.91656,0.42276,1.03219,0.00024452,0.00024452,0.00024452
19,493.097,0.86748,0.47062,1.01672,0.9624,0.97414,0.98321,0.7384,0.89557,0.42998,1.02299,0.000241609,0.000241609,0.000241609
20,519.068,0.84042,0.46708,1.00393,0.96906,0.96948,0.98384,0.73827,0.89407,0.42143,1.02144,0.000238699,0.000238699,0.000238699
21,541.132,0.81855,0.44446,0.98907,0.96544,0.97908,0.9855,0.73779,0.88793,0.40845,1.02417,0.000235788,0.000235788,0.000235788
22,566.89,0.83239,0.44593,0.99583,0.97257,0.9785,0.9824,0.7275,0.91585,0.40826,1.04353,0.000232877,0.000232877,0.000232877
23,585.832,0.8289,0.4414,0.99833,0.97475,0.97519,0.98277,0.73375,0.89826,0.39605,1.03178,0.000229967,0.000229967,0.000229967
24,612.653,0.82037,0.4309,0.99036,0.97443,0.97432,0.98391,0.73323,0.89458,0.39852,1.02529,0.000227056,0.000227056,0.000227056
25,640.344,0.81609,0.42954,0.99312,0.97331,0.97543,0.98321,0.74033,0.89007,0.39988,1.0276,0.000224146,0.000224146,0.000224146
26,676.727,0.80621,0.42763,0.98348,0.97199,0.97802,0.98285,0.73846,0.89514,0.40358,1.02499,0.000221235,0.000221235,0.000221235
27,702.357,0.80607,0.41351,0.98683,0.97788,0.97412,0.98123,0.73219,0.89935,0.40004,1.0269,0.000218324,0.000218324,0.000218324
28,723.81,0.80737,0.41915,0.98527,0.97701,0.97915,0.98086,0.73742,0.89808,0.39944,1.02783,0.000215414,0.000215414,0.000215414
29,744.832,0.79483,0.4009,0.98393,0.97649,0.97846,0.97984,0.73483,0.91173,0.40755,1.03313,0.000212503,0.000212503,0.000212503
30,766.368,0.78687,0.40115,0.97343,0.97888,0.97816,0.98202,0.74011,0.90218,0.39702,1.0334,0.000209593,0.000209593,0.000209593
31,788.391,0.78479,0.40228,0.97814,0.98075,0.9763,0.98078,0.74027,0.89637,0.39906,1.02897,0.000206682,0.000206682,0.000206682
32,809.758,0.77341,0.39946,0.9702,0.97774,0.98103,0.98166,0.74233,0.89186,0.4013,1.02896,0.000203771,0.000203771,0.000203771
33,831.108,0.76592,0.3917,0.97253,0.98102,0.97692,0.98063,0.73962,0.87988,0.38531,1.02737,0.000200861,0.000200861,0.000200861
34,858.736,0.76871,0.39547,0.97403,0.97976,0.97612,0.98222,0.73968,0.8815,0.38277,1.02571,0.00019795,0.00019795,0.00019795
35,879.802,0.77553,0.39648,0.96892,0.97916,0.97857,0.9843,0.73543,0.91209,0.38662,1.04033,0.00019504,0.00019504,0.00019504
36,900.498,0.76682,0.39403,0.97188,0.98171,0.98068,0.98233,0.73813,0.89644,0.38247,1.03174,0.000192129,0.000192129,0.000192129
37,920.995,0.74857,0.37995,0.9588,0.97735,0.97829,0.98419,0.74141,0.88719,0.38088,1.02763,0.000189218,0.000189218,0.000189218
38,941.622,0.74469,0.38358,0.96334,0.97699,0.97621,0.98454,0.73918,0.89617,0.37486,1.0341,0.000186308,0.000186308,0.000186308
39,962.522,0.7411,0.37879,0.96061,0.97701,0.98078,0.98244,0.74521,0.87464,0.37644,1.01323,0.000183397,0.000183397,0.000183397
40,983.765,0.74564,0.382,0.96239,0.97951,0.98001,0.98125,0.7477,0.87347,0.38357,1.01947,0.000180487,0.000180487,0.000180487
41,1015.49,0.73174,0.37839,0.96111,0.97978,0.98067,0.98411,0.74811,0.87725,0.3754,1.01907,0.000177576,0.000177576,0.000177576
42,1039.08,0.72712,0.37296,0.95752,0.97905,0.98018,0.9858,0.74995,0.86209,0.36073,1.01303,0.000174665,0.000174665,0.000174665
43,1069.12,0.73361,0.36877,0.9525,0.97653,0.98219,0.98463,0.7471,0.87338,0.35732,1.02048,0.000171755,0.000171755,0.000171755
44,1094.35,0.72268,0.36756,0.95298,0.97786,0.98178,0.98431,0.74356,0.87915,0.3559,1.03254,0.000168844,0.000168844,0.000168844
45,1117.14,0.71211,0.35432,0.94942,0.98003,0.98155,0.98321,0.74335,0.88432,0.36679,1.03038,0.000165934,0.000165934,0.000165934
46,1137.71,0.71693,0.36743,0.94975,0.98096,0.97874,0.98275,0.74816,0.8695,0.37069,1.02283,0.000163023,0.000163023,0.000163023
47,1160.97,0.69834,0.35313,0.94249,0.98056,0.9806,0.9823,0.74087,0.8853,0.37204,1.03189,0.000160112,0.000160112,0.000160112
48,1186.74,0.70028,0.34916,0.94468,0.98159,0.979,0.98314,0.74479,0.86996,0.37123,1.01974,0.000157202,0.000157202,0.000157202
49,1213.78,0.71026,0.35315,0.94812,0.97705,0.975,0.98195,0.7382,0.88014,0.3709,1.02903,0.000154291,0.000154291,0.000154291
50,1239.21,0.68995,0.34206,0.93822,0.96909,0.98616,0.98347,0.7438,0.87815,0.36545,1.02888,0.000151381,0.000151381,0.000151381
51,1265.79,0.68455,0.35043,0.93843,0.98051,0.97447,0.98291,0.74684,0.88037,0.36232,1.02863,0.00014847,0.00014847,0.00014847
52,1291.82,0.6942,0.35054,0.94388,0.98136,0.97533,0.98156,0.74712,0.8669,0.36886,1.02028,0.000145559,0.000145559,0.000145559
53,1318.18,0.69382,0.34597,0.94015,0.97883,0.97654,0.98133,0.74674,0.87582,0.3681,1.01882,0.000142649,0.000142649,0.000142649
54,1343.81,0.67684,0.34208,0.93719,0.9819,0.97758,0.9824,0.74815,0.86751,0.36451,1.0303,0.000139738,0.000139738,0.000139738
55,1370.89,0.67118,0.33435,0.93249,0.98275,0.98012,0.98288,0.74531,0.87799,0.35842,1.02834,0.000136828,0.000136828,0.000136828
56,1396.32,0.66641,0.3369,0.93031,0.98255,0.97781,0.98332,0.74944,0.86681,0.35588,1.02656,0.000133917,0.000133917,0.000133917
57,1423.04,0.67285,0.3413,0.93577,0.98346,0.97763,0.98119,0.74624,0.87376,0.35748,1.02662,0.000131006,0.000131006,0.000131006
58,1448.85,0.66248,0.32927,0.92734,0.98343,0.97648,0.98177,0.74688,0.87548,0.36145,1.03421,0.000128096,0.000128096,0.000128096
59,1475.07,0.65586,0.32821,0.93149,0.98156,0.97732,0.98132,0.74598,0.87446,0.36328,1.03176,0.000125185,0.000125185,0.000125185
60,1501.06,0.65399,0.32509,0.92859,0.98234,0.97668,0.98011,0.74362,0.8722,0.36454,1.03112,0.000122275,0.000122275,0.000122275
61,1528.03,0.65021,0.32239,0.92788,0.98208,0.97413,0.98177,0.74571,0.86949,0.36339,1.03517,0.000119364,0.000119364,0.000119364
62,1553.51,0.64745,0.32257,0.92479,0.98146,0.97973,0.98305,0.74785,0.87651,0.35572,1.03797,0.000116453,0.000116453,0.000116453
63,1581.11,0.63212,0.31463,0.91828,0.98288,0.97821,0.98277,0.75026,0.8707,0.35231,1.02979,0.000113543,0.000113543,0.000113543
