epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.6489,1.32233,4.77359,1.25366,0,0,0,0,1.22713,4.72844,1.11326,1.764e-05,1.764e-05,1.764e-05
2,54.7694,1.22053,4.687,1.16919,0,0,0,0,1.19155,4.61283,1.04764,3.78416e-05,3.78416e-05,3.78416e-05
3,63.3046,1.15351,4.5005,1.09335,0,0,0,0,1.15484,4.47945,0.98722,5.76358e-05,5.76358e-05,5.76358e-05
4,70.9149,1.09854,4.30739,1.04121,0,0,0,0,1.11591,4.4224,0.96528,7.70224e-05,7.70224e-05,7.70224e-05
5,79.4558,1.07645,4.10955,1.0256,0,0,0,0,1.05979,4.39053,0.94212,9.60016e-05,9.60016e-05,9.60016e-05
6,86.8465,1.10452,3.91567,1.05315,0.07639,0.01772,0.0153,0.01162,1.04196,4.33191,0.93975,0.000114573,0.000114573,0.000114573
7,95.7072,1.09225,3.67907,1.04207,0.13116,0.11581,0.09716,0.07229,1.03483,4.27053,0.93773,0.000132737,0.000132737,0.000132737
8,104.402,1.08309,3.34479,1.04606,0.2624,0.30701,0.23933,0.17929,1.00374,4.176,0.933,0.000150494,0.000150494,0.000150494
9,113.893,1.13181,3.02601,1.07056,0.23825,0.45864,0.33271,0.23867,1.05081,4.10608,0.94864,0.000167843,0.000167843,0.000167843
10,122.665,1.10179,2.58037,1.07608,0.18316,0.62481,0.46238,0.33667,1.02705,3.94377,0.97199,0.000184785,0.000184785,0.000184785
11,131.96,1.11508,2.23541,1.08347,0.16013,0.72906,0.53933,0.39348,1.0282,3.75602,0.98727,0.000201319,0.000201319,0.000201319
12,140.801,1.09981,1.85235,1.08059,0.13492,0.83703,0.61986,0.44582,1.02704,3.49891,0.99736,0.000217446,0.000217446,0.000217446
13,149.833,1.11331,1.63449,1.08872,0.13086,0.93099,0.74453,0.52702,1.06297,3.15629,1.02379,0.000233166,0.000233166,0.000233166
14,158.986,1.07797,1.37716,1.07728,0.94512,0.35677,0.79384,0.56674,1.04508,2.77925,1.02699,0.000248477,0.000248477,0.000248477
15,166.912,1.07047,1.24053,1.07981,0.92257,0.48463,0.85002,0.60341,1.04627,2.37328,1.03385,0.000253252,0.000253252,0.000253252
16,175.729,1.02602,1.10659,1.05604,0.89811,0.61652,0.89149,0.63093,1.04697,2.00349,1.04034,0.000250341,0.000250341,0.000250341
17,183.949,1.00535,1.02622,1.04731,0.9204,0.70447,0.93504,0.65462,1.03115,1.6593,1.03153,0.00024743,0.00024743,0.00024743
18,193.005,0.98546,0.97477,1.04045,0.93372,0.82353,0.94874,0.66991,1.01668,1.56626,1.02945,0.00024452,0.00024452,0.00024452
19,201.162,0.9944,0.95276,1.04317,0.92702,0.8281,0.94068,0.66256,1.01396,1.45631,1.02761,0.000241609,0.000241609,0.000241609
20,209.999,0.99118,0.92096,1.04104,0.91662,0.89917,0.95811,0.68117,0.99489,1.20846,1.01549,0.000238699,0.000238699,0.000238699
21,218.956,0.96657,0.87051,1.03017,0.90754,0.89613,0.95133,0.67745,0.99405,1.09626,1.02017,0.000235788,0.000235788,0.000235788
22,227.511,0.96828,0.87809,1.02816,0.92759,0.93014,0.96818,0.69333,0.98946,0.9786,1.02631,0.000232877,0.000232877,0.000232877
23,236.163,0.94908,0.82725,1.02151,0.91327,0.93323,0.96337,0.68049,1.01474,1.01247,1.04136,0.000229967,0.000229967,0.000229967
24,244.536,0.9401,0.8277,1.01885,0.93274,0.91234,0.95307,0.66997,1.03091,0.95524,1.05544,0.000227056,0.000227056,0.000227056
