epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3,1.33679,4.79706,1.27668,0.03019,0.25209,0.01979,0.01279,1.24465,4.35751,1.14093,3.528e-05,3.528e-05,3.528e-05
2,59.5729,1.19546,3.07726,1.15782,0.45503,0.50866,0.48922,0.32872,1.15506,2.89529,1.09887,7.27723e-05,7.27723e-05,7.27723e-05
3,71.6067,1.08183,1.56909,1.08049,0.70615,0.79043,0.79957,0.55087,1.05428,1.53676,1.05579,0.000109508,0.000109508,0.000109508
4,86.1548,1.0262,1.05576,1.05441,0.87339,0.88703,0.92449,0.63281,1.06854,1.01681,1.05551,0.000145487,0.000145487,0.000145487
5,112.306,1.01569,0.89035,1.04624,0.91016,0.91817,0.94484,0.66637,0.99852,0.82092,1.03804,0.000180709,0.000180709,0.000180709
6,123.296,0.99085,0.80343,1.04421,0.92683,0.93222,0.96267,0.67846,0.99155,0.74359,1.03413,0.000215174,0.000215174,0.000215174
7,138.049,0.99093,0.72487,1.04349,0.92498,0.94129,0.96635,0.68969,0.97605,0.70701,1.03777,0.000248883,0.000248883,0.000248883
8,159.449,0.94928,0.67378,1.03696,0.92589,0.94786,0.96454,0.68857,0.98577,0.6662,1.04906,0.000273626,0.000273626,0.000273626
9,175.252,0.95982,0.6701,1.04694,0.93908,0.9599,0.968,0.69864,0.96254,0.62777,1.05018,0.000270715,0.000270715,0.000270715
10,189.128,0.94441,0.63678,1.0426,0.96275,0.94676,0.97525,0.70805,0.95157,0.57524,1.0314,0.000267805,0.000267805,0.000267805
11,200.104,0.90711,0.59996,1.02308,0.95023,0.96717,0.98065,0.71215,0.94524,0.56466,1.03097,0.000264894,0.000264894,0.000264894
12,221.008,0.92489,0.58107,1.03047,0.95407,0.9662,0.98315,0.72259,0.92486,0.5516,1.02766,0.000261983,0.000261983,0.000261983
13,232.827,0.90312,0.58005,1.01506,0.96039,0.96523,0.98183,0.71416,0.93316,0.53465,1.04514,0.000259073,0.000259073,0.000259073
14,250.352,0.89104,0.54753,1.01823,0.96769,0.96718,0.98148,0.72058,0.92602,0.5228,1.0397,0.000256162,0.000256162,0.000256162
15,263.61,0.89178,0.54947,1.02166,0.9627,0.96995,0.98299,0.72444,0.93218,0.52261,1.03864,0.000253252,0.000253252,0.000253252
16,276.1,0.88922,0.53859,1.02169,0.96996,0.96967,0.98408,0.73078,0.9106,0.49312,1.03133,0.000250341,0.000250341,0.000250341
17,289.762,0.86346,0.51955,1.00981,0.97028,0.96358,0.98049,0.7305,0.91308,0.48166,1.03318,0.00024743,0.00024743,0.00024743
18,301.467,0.86437,0.51037,1.01254,0.96643,0.96784,0.97849,0.7209,0.92433,0.4912,1.04059,0.00024452,0.00024452,0.00024452
19,316.077,0.87201,0.51186,1.01115,0.95012,0.96768,0.97052,0.71076,0.92157,0.51308,1.03325,0.000241609,0.000241609,0.000241609
20,331.391,0.85039,0.49387,1.00283,0.96956,0.97463,0.98189,0.72831,0.90585,0.46602,1.03163,0.000238699,0.000238699,0.000238699
21,345.167,0.85401,0.49357,1.00719,0.96114,0.97856,0.98263,0.71973,0.93099,0.48103,1.04743,0.000235788,0.000235788,0.000235788
