epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.8492,1.33938,4.76817,1.27588,0.05429,0.23484,0.0236,0.01501,1.25268,4.6696,1.17461,3.528e-05,3.528e-05,3.528e-05
2,59.5345,1.2039,3.06601,1.17076,0.46212,0.4438,0.46917,0.3117,1.14871,3.02225,1.14182,7.27723e-05,7.27723e-05,7.27723e-05
3,70.0265,1.1008,1.55656,1.09166,0.70092,0.80521,0.81187,0.55915,1.03237,1.49326,1.08077,0.000109508,0.000109508,0.000109508
4,86.5362,1.04114,1.04947,1.06902,0.86069,0.87191,0.91993,0.63791,1.03512,0.99619,1.07574,0.000145487,0.000145487,0.000145487
5,102.349,1.00719,0.86986,1.05245,0.88781,0.90254,0.94811,0.65791,1.0265,0.85957,1.07468,0.000180709,0.000180709,0.000180709
6,118.885,0.98409,0.78579,1.04761,0.9272,0.92622,0.96561,0.67992,1.00055,0.74627,1.05951,0.000215174,0.000215174,0.000215174
7,134.868,0.96435,0.71872,1.03829,0.92371,0.92475,0.96238,0.67922,0.99739,0.7207,1.05815,0.000248883,0.000248883,0.000248883
8,152.08,0.95791,0.69021,1.04507,0.9442,0.93906,0.97372,0.68335,1.00228,0.66124,1.07186,0.000273626,0.000273626,0.000273626
9,171.9,0.95221,0.6694,1.03872,0.94085,0.95731,0.97107,0.69069,0.97676,0.61474,1.06214,0.000270715,0.000270715,0.000270715
10,183.807,0.94437,0.63042,1.03942,0.95985,0.96141,0.97612,0.7072,0.94642,0.56866,1.04987,0.000267805,0.000267805,0.000267805
11,199.97,0.91398,0.59407,1.01717,0.96555,0.97099,0.98585,0.70858,0.96768,0.55329,1.04512,0.000264894,0.000264894,0.000264894
12,216.231,0.90679,0.58007,1.02321,0.96673,0.95952,0.98605,0.71762,0.94318,0.53153,1.04479,0.000261983,0.000261983,0.000261983
13,232.671,0.909,0.57647,1.01783,0.94965,0.96461,0.97799,0.70723,0.94598,0.55103,1.0447,0.000259073,0.000259073,0.000259073
14,248.796,0.88145,0.54128,1.01037,0.9667,0.96942,0.98207,0.71659,0.94287,0.52079,1.04647,0.000256162,0.000256162,0.000256162
15,263.016,0.89553,0.54766,1.01775,0.96473,0.97593,0.98415,0.71572,0.93743,0.50751,1.05512,0.000253252,0.000253252,0.000253252
16,278.734,0.87153,0.53664,1.01098,0.96885,0.971,0.98028,0.70252,0.96966,0.51695,1.06538,0.000250341,0.000250341,0.000250341
17,294.164,0.87401,0.52077,1.0104,0.96231,0.97455,0.98296,0.71942,0.93659,0.48742,1.05365,0.00024743,0.00024743,0.00024743
18,308.806,0.87562,0.52191,1.00982,0.96968,0.96802,0.98351,0.72369,0.92711,0.48797,1.04848,0.00024452,0.00024452,0.00024452
19,326.162,0.86468,0.51413,1.00872,0.95995,0.96593,0.98287,0.71472,0.94249,0.48486,1.05673,0.000241609,0.000241609,0.000241609
20,341.312,0.85262,0.49934,1.00318,0.98073,0.96609,0.98352,0.7165,0.9247,0.47684,1.04544,0.000238699,0.000238699,0.000238699
21,357.345,0.83692,0.49069,0.99663,0.97591,0.97322,0.98467,0.72511,0.92066,0.46561,1.04336,0.000235788,0.000235788,0.000235788
22,369.855,0.83749,0.48723,0.99731,0.97454,0.97446,0.98345,0.72676,0.9199,0.45024,1.04427,0.000232877,0.000232877,0.000232877
23,384.936,0.83389,0.47541,0.99891,0.96992,0.97847,0.98486,0.72455,0.92639,0.46263,1.053,0.000229967,0.000229967,0.000229967
24,402.178,0.8359,0.48676,0.99924,0.97068,0.97268,0.98108,0.72002,0.94176,0.45593,1.0568,0.000227056,0.000227056,0.000227056
25,420.434,0.81877,0.46212,0.9929,0.98148,0.97105,0.98672,0.73042,0.92374,0.45125,1.04733,0.000224146,0.000224146,0.000224146
26,433.191,0.80589,0.45833,0.98801,0.97168,0.96967,0.98283,0.73249,0.90412,0.4383,1.03441,0.000221235,0.000221235,0.000221235
27,451.582,0.80627,0.44835,0.98121,0.97652,0.9794,0.98403,0.72872,0.90145,0.43468,1.03639,0.000218324,0.000218324,0.000218324
28,463.549,0.80886,0.45145,0.98607,0.97537,0.96956,0.98555,0.73335,0.9023,0.43112,1.03271,0.000215414,0.000215414,0.000215414
29,477.579,0.80343,0.44118,0.97997,0.97393,0.98056,0.98423,0.73265,0.90696,0.42596,1.03789,0.000212503,0.000212503,0.000212503
30,494.108,0.79675,0.44671,0.98301,0.97591,0.97712,0.9853,0.73276,0.90538,0.43821,1.03802,0.000209593,0.000209593,0.000209593
31,507.976,0.78209,0.43338,0.97386,0.97729,0.98114,0.98387,0.73552,0.89431,0.41953,1.03043,0.000206682,0.000206682,0.000206682
32,522.176,0.77242,0.43366,0.97256,0.97709,0.98139,0.98468,0.7386,0.89303,0.42208,1.02719,0.000203771,0.000203771,0.000203771
33,538.711,0.78629,0.42891,0.97607,0.97926,0.98204,0.98641,0.73186,0.9122,0.41815,1.03891,0.000200861,0.000200861,0.000200861
34,555.672,0.76771,0.4344,0.9664,0.97529,0.98382,0.98346,0.72961,0.91648,0.42454,1.04762,0.00019795,0.00019795,0.00019795
35,568.107,0.76354,0.41986,0.97128,0.98072,0.98457,0.98317,0.7334,0.90287,0.42377,1.04231,0.00019504,0.00019504,0.00019504
36,581.14,0.77399,0.42576,0.97472,0.9832,0.98539,0.98827,0.7362,0.89617,0.40955,1.04228,0.000192129,0.000192129,0.000192129
37,601.171,0.77032,0.42585,0.96519,0.98626,0.98256,0.98779,0.73357,0.89664,0.41925,1.03703,0.000189218,0.000189218,0.000189218
38,612.682,0.76188,0.41427,0.97195,0.97633,0.9854,0.98694,0.72937,0.91359,0.42316,1.04537,0.000186308,0.000186308,0.000186308
39,626.21,0.7812,0.42702,0.9755,0.97664,0.98215,0.98073,0.73014,0.89985,0.41206,1.04192,0.000183397,0.000183397,0.000183397
40,641.432,0.75186,0.40788,0.96491,0.97519,0.98392,0.98112,0.7271,0.91811,0.40174,1.04687,0.000180487,0.000180487,0.000180487
41,658.321,0.7448,0.40818,0.96765,0.97907,0.98779,0.98445,0.73305,0.90753,0.39852,1.04098,0.000177576,0.000177576,0.000177576
42,678.047,0.73248,0.40181,0.95888,0.97536,0.98171,0.98259,0.7307,0.9031,0.40678,1.04146,0.000174665,0.000174665,0.000174665
43,689.273,0.74301,0.40218,0.95707,0.97724,0.98049,0.98041,0.73275,0.90523,0.4108,1.04489,0.000171755,0.000171755,0.000171755
44,706.398,0.74501,0.39964,0.95768,0.97951,0.98284,0.98396,0.73569,0.90076,0.39837,1.04362,0.000168844,0.000168844,0.000168844
45,718.993,0.73508,0.39488,0.95544,0.97955,0.98139,0.98303,0.73274,0.90083,0.40023,1.04348,0.000165934,0.000165934,0.000165934
46,733.496,0.72526,0.39674,0.95708,0.97787,0.98514,0.98128,0.7414,0.89079,0.39309,1.03981,0.000163023,0.000163023,0.000163023
47,748.76,0.71533,0.38871,0.95061,0.97705,0.98328,0.98052,0.73367,0.90509,0.39412,1.04565,0.000160112,0.000160112,0.000160112
48,760.996,0.71693,0.38656,0.95149,0.97499,0.98356,0.98102,0.73062,0.90856,0.39783,1.04204,0.000157202,0.000157202,0.000157202
49,773.504,0.71939,0.38737,0.95778,0.97189,0.98417,0.9803,0.72645,0.91262,0.39817,1.05262,0.000154291,0.000154291,0.000154291
50,784.933,0.71399,0.3875,0.95332,0.97938,0.98521,0.98324,0.73024,0.90902,0.38868,1.05352,0.000151381,0.000151381,0.000151381
51,800.878,0.70893,0.38415,0.95048,0.97929,0.98086,0.98514,0.73222,0.9015,0.38883,1.04743,0.00014847,0.00014847,0.00014847
