epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0162,1.20584,3.30476,1.2103,0.54291,0.6073,0.5533,0.38491,1.08195,4.58924,1.12135,7.35e-05,7.35e-05,7.35e-05
2,64.3854,1.04515,1.1593,1.09373,0.88002,0.8798,0.92527,0.64163,1.01913,1.00712,1.07801,0.000148456,0.000148456,0.000148456
3,86.1169,1.01328,0.79223,1.07519,0.8799,0.90265,0.94432,0.6487,1.03165,0.72929,1.09181,0.000221898,0.000221898,0.000221898
4,114.286,1.0056,0.71904,1.07494,0.86007,0.93288,0.9456,0.65212,1.0471,0.7321,1.10382,0.000285268,0.000285268,0.000285268
5,145.636,0.96968,0.63072,1.06057,0.9366,0.95369,0.97234,0.69583,0.93965,0.55679,1.05361,0.000282358,0.000282358,0.000282358
6,181.972,0.94804,0.61152,1.05699,0.92887,0.95522,0.97307,0.69383,0.96248,0.53632,1.05511,0.000279447,0.000279447,0.000279447
7,202.563,0.93101,0.58606,1.04631,0.94826,0.95898,0.97573,0.70286,0.94499,0.51701,1.05694,0.000276536,0.000276536,0.000276536
8,223.151,0.91631,0.55731,1.03951,0.95525,0.97236,0.97903,0.70651,0.95316,0.50104,1.0515,0.000273626,0.000273626,0.000273626
9,254.292,0.92564,0.54572,1.04684,0.95863,0.96444,0.97548,0.70082,0.97172,0.50566,1.0588,0.000270715,0.000270715,0.000270715
10,277.73,0.91295,0.53961,1.03887,0.95534,0.9665,0.978,0.71603,0.92756,0.46778,1.04143,0.000267805,0.000267805,0.000267805
11,297.749,0.89707,0.51989,1.03429,0.95332,0.96864,0.97696,0.70865,0.93413,0.47539,1.05059,0.000264894,0.000264894,0.000264894
12,316.544,0.89031,0.50399,1.02995,0.94772,0.97721,0.97567,0.71345,0.93474,0.46221,1.05065,0.000261983,0.000261983,0.000261983
13,335.089,0.88023,0.5044,1.03022,0.95606,0.97328,0.97743,0.7135,0.93303,0.45093,1.0426,0.000259073,0.000259073,0.000259073
14,357.107,0.86118,0.48721,1.01531,0.96001,0.97931,0.98284,0.72108,0.92684,0.45756,1.04707,0.000256162,0.000256162,0.000256162
15,377.759,0.86623,0.48815,1.02181,0.94543,0.97678,0.97746,0.72348,0.92577,0.43737,1.04595,0.000253252,0.000253252,0.000253252
16,396.89,0.86775,0.48018,1.01947,0.96737,0.97353,0.97723,0.72133,0.91173,0.43401,1.03775,0.000250341,0.000250341,0.000250341
17,418.083,0.85295,0.47208,1.01586,0.96654,0.98032,0.98302,0.72491,0.91253,0.43329,1.04182,0.00024743,0.00024743,0.00024743
18,448.678,0.85386,0.46959,1.01406,0.97599,0.97648,0.98292,0.7308,0.90964,0.41923,1.03429,0.00024452,0.00024452,0.00024452
19,475.259,0.82601,0.45869,1.00555,0.9632,0.98172,0.98338,0.72826,0.92069,0.41422,1.04647,0.000241609,0.000241609,0.000241609
20,494.401,0.8378,0.45478,1.0108,0.96796,0.96862,0.98098,0.72169,0.91379,0.42771,1.04465,0.000238699,0.000238699,0.000238699
21,515.959,0.84127,0.45076,1.00713,0.97496,0.97679,0.98405,0.72863,0.90374,0.41722,1.03556,0.000235788,0.000235788,0.000235788
22,542.156,0.83216,0.45216,1.00433,0.96594,0.97341,0.98144,0.73535,0.88898,0.41679,1.02505,0.000232877,0.000232877,0.000232877
