epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6522,1.32415,4.76978,1.25768,0,0,0,0,1.20438,4.7295,1.09547,1.764e-05,1.764e-05,1.764e-05
2,52.9214,1.21753,4.6868,1.17694,0,0,0,0,1.15682,4.60895,1.0281,3.78416e-05,3.78416e-05,3.78416e-05
3,61.2492,1.14476,4.49524,1.09196,0,0,0,0,1.14944,4.46251,0.97789,5.76358e-05,5.76358e-05,5.76358e-05
4,69.0423,1.10896,4.3068,1.05045,0,0,0,0,1.17167,4.42073,0.97795,7.70224e-05,7.70224e-05,7.70224e-05
5,78.05,1.07958,4.10745,1.02674,0,0,0,0,1.06189,4.39395,0.9423,9.60016e-05,9.60016e-05,9.60016e-05
6,86.3897,1.09946,3.93017,1.05227,0.07204,0.01417,0.01155,0.00861,1.07028,4.35644,0.94128,0.000114573,0.000114573,0.000114573
7,95.8927,1.08747,3.70693,1.04088,0.20316,0.13358,0.09598,0.0715,1.01668,4.2818,0.93216,0.000132737,0.000132737,0.000132737
8,105.187,1.09935,3.42708,1.05787,0.25964,0.29694,0.22431,0.17021,0.98019,4.21037,0.93043,0.000150494,0.000150494,0.000150494
9,113.747,1.1204,3.0421,1.07045,0.23327,0.45017,0.33449,0.25132,0.99495,4.14559,0.93447,0.000167843,0.000167843,0.000167843
10,122.643,1.11683,2.61786,1.08181,0.21624,0.61868,0.42926,0.31565,1.0076,4.02356,0.96243,0.000184785,0.000184785,0.000184785
11,131.023,1.13111,2.27038,1.09109,0.13395,0.70708,0.5118,0.37042,1.02315,3.78641,0.97869,0.000201319,0.000201319,0.000201319
12,139.597,1.1129,1.93185,1.09263,0.14316,0.84502,0.64138,0.46302,1.01175,3.48049,1.00604,0.000217446,0.000217446,0.000217446
13,149.432,1.10219,1.69804,1.09473,0.97292,0.30616,0.76801,0.55016,1.02089,3.02005,1.02019,0.000233166,0.000233166,0.000233166
14,158.109,1.07242,1.42798,1.08052,0.97032,0.37791,0.82438,0.58834,1.03048,2.67832,1.02905,0.000248477,0.000248477,0.000248477
15,166.556,1.06661,1.2743,1.07497,0.91226,0.37209,0.80857,0.57023,1.0258,2.58467,1.02367,0.000253252,0.000253252,0.000253252
16,175.586,1.0284,1.15697,1.0575,0.89425,0.47981,0.84871,0.60204,1.0098,2.30154,1.01877,0.000250341,0.000250341,0.000250341
17,184.715,1.01067,1.05553,1.0449,0.90572,0.56903,0.85266,0.58894,1.06983,2.10884,1.04872,0.00024743,0.00024743,0.00024743
18,193.328,1.00458,0.9884,1.04538,0.90287,0.604,0.85375,0.57342,1.10735,2.00504,1.0589,0.00024452,0.00024452,0.00024452
19,202.165,0.99668,0.98363,1.03935,0.90739,0.81861,0.92409,0.65537,0.97808,1.48855,1.0083,0.000241609,0.000241609,0.000241609
20,210.96,0.98472,0.94985,1.03342,0.92111,0.89855,0.94659,0.66823,0.99131,1.21557,1.01914,0.000238699,0.000238699,0.000238699
21,220.257,0.95924,0.88803,1.02098,0.90108,0.88856,0.93851,0.67042,0.99213,1.11315,1.01492,0.000235788,0.000235788,0.000235788
22,228.581,0.97025,0.89593,1.0292,0.90705,0.88826,0.9373,0.66315,0.99372,1.06979,1.00813,0.000232877,0.000232877,0.000232877
23,237.43,0.96096,0.84968,1.01867,0.90477,0.87813,0.93397,0.6619,0.98016,1.01816,1.01061,0.000229967,0.000229967,0.000229967
24,247.135,0.93376,0.84756,1.00834,0.90739,0.90234,0.95523,0.67564,0.97284,0.96131,1.01499,0.000227056,0.000227056,0.000227056
25,255.519,0.94328,0.8076,1.00583,0.91962,0.93839,0.96517,0.68888,0.95173,0.84229,1.00044,0.000224146,0.000224146,0.000224146
26,264.245,0.93883,0.80307,1.00991,0.95708,0.93291,0.96598,0.69787,0.94836,0.85095,1.00408,0.000221235,0.000221235,0.000221235
27,274.311,0.93747,0.78123,1.00582,0.94431,0.93926,0.96495,0.69685,0.94127,0.80097,1.00015,0.000218324,0.000218324,0.000218324
28,283.181,0.92001,0.77127,1.00168,0.94188,0.936,0.95927,0.70194,0.92816,0.81631,0.99474,0.000215414,0.000215414,0.000215414
29,291.845,0.90952,0.76399,0.99646,0.93702,0.91876,0.95963,0.69327,0.94537,0.81466,1.011,0.000212503,0.000212503,0.000212503
30,301.122,0.90348,0.75403,0.99638,0.95396,0.94541,0.96562,0.69335,0.94574,0.77407,1.00648,0.000209593,0.000209593,0.000209593
31,309.025,0.91112,0.75164,0.9976,0.94631,0.94407,0.9699,0.69581,0.94094,0.75512,1.0039,0.000206682,0.000206682,0.000206682
32,318.08,0.89751,0.74337,0.99209,0.94859,0.94949,0.97462,0.70845,0.92056,0.73979,0.99558,0.000203771,0.000203771,0.000203771
33,326.311,0.89136,0.73169,0.98901,0.95892,0.95871,0.97553,0.70643,0.92113,0.71496,0.99838,0.000200861,0.000200861,0.000200861
34,337.384,0.89575,0.7307,0.99212,0.95279,0.95059,0.97148,0.7,0.94725,0.72215,1.00455,0.00019795,0.00019795,0.00019795
35,345.616,0.90012,0.73352,0.99953,0.94728,0.9494,0.96988,0.70498,0.92257,0.73859,0.99458,0.00019504,0.00019504,0.00019504
