epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.65,1.20854,3.31893,1.21428,0.59797,0.57894,0.60055,0.40534,1.06999,3.91609,1.11724,7.35e-05,7.35e-05,7.35e-05
2,61.2489,1.05199,1.13711,1.09556,0.85886,0.86164,0.92625,0.63716,1.03642,0.93576,1.07525,0.000148456,0.000148456,0.000148456
3,84.7115,1.01703,0.78028,1.07076,0.86998,0.9117,0.94072,0.65952,0.99556,0.76148,1.06893,0.000221898,0.000221898,0.000221898
4,105.971,0.98581,0.69198,1.06607,0.90339,0.92009,0.94391,0.66015,0.99028,0.66254,1.09014,0.000285268,0.000285268,0.000285268
5,136.7,0.97712,0.64283,1.05925,0.92397,0.92585,0.96302,0.68525,0.96191,0.61231,1.07697,0.000282358,0.000282358,0.000282358
6,163.422,0.95822,0.60982,1.05399,0.94787,0.9504,0.9683,0.68662,0.97696,0.54864,1.08858,0.000279447,0.000279447,0.000279447
7,184.341,0.94356,0.57511,1.05888,0.94665,0.96197,0.972,0.70773,0.93823,0.50635,1.06482,0.000276536,0.000276536,0.000276536
8,207.887,0.92071,0.55116,1.04517,0.94255,0.95175,0.97249,0.69936,0.95688,0.55125,1.06888,0.000273626,0.000273626,0.000273626
9,232.471,0.91974,0.53687,1.04181,0.95021,0.98269,0.97845,0.71305,0.92526,0.49535,1.04982,0.000270715,0.000270715,0.000270715
10,255.312,0.90479,0.52889,1.04227,0.95651,0.9734,0.9773,0.72052,0.91274,0.46546,1.03846,0.000267805,0.000267805,0.000267805
11,281.416,0.89362,0.51146,1.0303,0.96066,0.98043,0.97911,0.72674,0.90196,0.45501,1.03885,0.000264894,0.000264894,0.000264894
12,307.07,0.87656,0.49408,1.02207,0.96489,0.97592,0.9839,0.72215,0.91498,0.45458,1.05372,0.000261983,0.000261983,0.000261983
13,328.326,0.88294,0.51323,1.02357,0.96413,0.97756,0.98033,0.72302,0.90653,0.4566,1.03425,0.000259073,0.000259073,0.000259073
14,347.44,0.87535,0.49485,1.0254,0.96622,0.97911,0.98302,0.72505,0.90533,0.44419,1.04017,0.000256162,0.000256162,0.000256162
15,365.811,0.87857,0.49451,1.02712,0.97344,0.97035,0.98027,0.71951,0.91496,0.44629,1.0481,0.000253252,0.000253252,0.000253252
16,385.058,0.87405,0.48215,1.02046,0.96129,0.98171,0.98189,0.73189,0.89955,0.43579,1.03715,0.000250341,0.000250341,0.000250341
17,405.155,0.85271,0.47367,1.01431,0.95929,0.97883,0.98267,0.72697,0.90245,0.42942,1.04328,0.00024743,0.00024743,0.00024743
18,423.803,0.85557,0.4715,1.01742,0.97643,0.97002,0.98387,0.73788,0.88635,0.42726,1.02982,0.00024452,0.00024452,0.00024452
19,449.643,0.827,0.4563,1.00687,0.97051,0.97858,0.9832,0.73651,0.88465,0.40848,1.03157,0.000241609,0.000241609,0.000241609
20,469.935,0.83926,0.4557,1.01092,0.97209,0.98185,0.98468,0.73674,0.89637,0.41422,1.03227,0.000238699,0.000238699,0.000238699
21,488.548,0.83511,0.44352,1.00437,0.96148,0.98074,0.98096,0.72895,0.89179,0.41671,1.03379,0.000235788,0.000235788,0.000235788
22,506.707,0.84274,0.45372,1.01218,0.97173,0.97923,0.98451,0.73037,0.90729,0.41555,1.03812,0.000232877,0.000232877,0.000232877
23,528.615,0.81713,0.42594,1.00036,0.9776,0.97935,0.98371,0.73389,0.89854,0.40501,1.05054,0.000229967,0.000229967,0.000229967
24,548.386,0.8236,0.42553,1.00323,0.97135,0.97622,0.98189,0.74053,0.88298,0.40127,1.0383,0.000227056,0.000227056,0.000227056
25,587.847,0.82528,0.42939,1.00511,0.97079,0.98,0.98288,0.7403,0.88139,0.39665,1.02819,0.000224146,0.000224146,0.000224146
26,617.823,0.81883,0.42932,1.00745,0.97653,0.982,0.98345,0.74174,0.88387,0.3938,1.03476,0.000221235,0.000221235,0.000221235
27,640.432,0.80888,0.41303,0.98976,0.97232,0.97709,0.98075,0.73647,0.89041,0.39572,1.04251,0.000218324,0.000218324,0.000218324
28,661.665,0.79559,0.41317,0.98807,0.96918,0.98093,0.98168,0.73754,0.89156,0.39578,1.03409,0.000215414,0.000215414,0.000215414
29,681.073,0.78661,0.41413,0.98638,0.96967,0.98324,0.98303,0.74196,0.87324,0.38873,1.02939,0.000212503,0.000212503,0.000212503
30,709.552,0.78102,0.41008,0.98404,0.97339,0.9799,0.98236,0.74292,0.88004,0.38869,1.03305,0.000209593,0.000209593,0.000209593
31,735.217,0.79072,0.40869,0.98808,0.97466,0.97826,0.97758,0.73644,0.89287,0.39496,1.04195,0.000206682,0.000206682,0.000206682
32,757.313,0.77384,0.40432,0.98201,0.97359,0.97881,0.98257,0.74674,0.88359,0.39131,1.0374,0.000203771,0.000203771,0.000203771
33,782.729,0.77339,0.39896,0.97873,0.97871,0.97874,0.98049,0.73619,0.8942,0.38945,1.04296,0.000200861,0.000200861,0.000200861
34,803.448,0.77686,0.39655,0.9776,0.97371,0.97697,0.97975,0.74664,0.86813,0.3768,1.02913,0.00019795,0.00019795,0.00019795
35,828.499,0.76685,0.39445,0.98012,0.97451,0.97952,0.98023,0.74228,0.88214,0.37793,1.04023,0.00019504,0.00019504,0.00019504
36,849.948,0.75716,0.39197,0.97165,0.97529,0.9791,0.98193,0.74549,0.88004,0.37498,1.03286,0.000192129,0.000192129,0.000192129
37,870.895,0.76962,0.4006,0.98099,0.97253,0.98103,0.98349,0.74347,0.87356,0.37641,1.03252,0.000189218,0.000189218,0.000189218
38,891.675,0.74857,0.38759,0.9707,0.97407,0.98348,0.9834,0.74393,0.88127,0.37383,1.03781,0.000186308,0.000186308,0.000186308
39,912.145,0.74467,0.38462,0.97063,0.97246,0.98164,0.98257,0.74616,0.86478,0.36642,1.03038,0.000183397,0.000183397,0.000183397
40,933.904,0.74961,0.3913,0.97482,0.98037,0.9788,0.98382,0.7428,0.88502,0.37788,1.04198,0.000180487,0.000180487,0.000180487
41,955.328,0.75221,0.38481,0.97726,0.97629,0.98202,0.98325,0.74151,0.87171,0.37801,1.03212,0.000177576,0.000177576,0.000177576
42,976.072,0.74184,0.3796,0.9661,0.97611,0.98196,0.97987,0.74361,0.87067,0.37322,1.03241,0.000174665,0.000174665,0.000174665
43,996.434,0.71834,0.36085,0.95907,0.97961,0.98179,0.98422,0.75176,0.87305,0.3706,1.03271,0.000171755,0.000171755,0.000171755
44,1018.21,0.72678,0.36583,0.96251,0.97886,0.9846,0.98259,0.74695,0.85829,0.36811,1.02741,0.000168844,0.000168844,0.000168844
45,1043.47,0.7215,0.3703,0.95752,0.97771,0.985,0.98295,0.74702,0.8694,0.36661,1.03279,0.000165934,0.000165934,0.000165934
46,1064.66,0.72981,0.36695,0.96617,0.98121,0.98108,0.98302,0.74272,0.87072,0.37191,1.03995,0.000163023,0.000163023,0.000163023
47,1086.14,0.70822,0.36048,0.95333,0.97696,0.98114,0.98342,0.74736,0.87244,0.36641,1.03828,0.000160112,0.000160112,0.000160112
48,1107.64,0.70083,0.35595,0.95084,0.97898,0.98281,0.98182,0.74065,0.87759,0.36763,1.04094,0.000157202,0.000157202,0.000157202
49,1128.42,0.71637,0.35995,0.95479,0.97562,0.98217,0.98259,0.74831,0.8678,0.36413,1.03155,0.000154291,0.000154291,0.000154291
50,1149.97,0.69697,0.35111,0.9508,0.97146,0.98248,0.98352,0.7522,0.86291,0.36687,1.02759,0.000151381,0.000151381,0.000151381
51,1171.79,0.6935,0.35434,0.9471,0.97726,0.98029,0.98129,0.7515,0.86669,0.36503,1.031,0.00014847,0.00014847,0.00014847
52,1197.79,0.69061,0.35074,0.94705,0.9749,0.9824,0.98406,0.74535,0.87426,0.36768,1.03941,0.000145559,0.000145559,0.000145559
53,1219.48,0.68933,0.34914,0.94446,0.97675,0.98409,0.98329,0.74757,0.85404,0.36261,1.02904,0.000142649,0.000142649,0.000142649
54,1240.89,0.6778,0.34385,0.94005,0.97926,0.98151,0.98628,0.75264,0.86566,0.35986,1.03216,0.000139738,0.000139738,0.000139738
55,1264.43,0.67987,0.3456,0.94462,0.98271,0.98073,0.98416,0.7484,0.86533,0.36203,1.03525,0.000136828,0.000136828,0.000136828
56,1291.77,0.67661,0.3417,0.9446,0.9789,0.97858,0.98277,0.75036,0.86812,0.36052,1.03897,0.000133917,0.000133917,0.000133917
57,1313,0.67989,0.34225,0.94362,0.976,0.98355,0.98293,0.74711,0.86261,0.34912,1.03257,0.000131006,0.000131006,0.000131006
58,1333.5,0.66176,0.33805,0.93654,0.97987,0.98481,0.98393,0.74897,0.86633,0.35524,1.03179,0.000128096,0.000128096,0.000128096
59,1354.61,0.6591,0.33101,0.93639,0.97928,0.98296,0.9844,0.74691,0.8685,0.35577,1.0388,0.000125185,0.000125185,0.000125185
60,1376.77,0.66107,0.33044,0.93818,0.97649,0.9808,0.98078,0.74315,0.86891,0.35761,1.04038,0.000122275,0.000122275,0.000122275
61,1397.48,0.65884,0.33017,0.93547,0.97682,0.98227,0.98235,0.74685,0.86474,0.35688,1.03872,0.000119364,0.000119364,0.000119364
62,1418.55,0.64991,0.32473,0.92965,0.97892,0.9834,0.98454,0.7524,0.86302,0.35565,1.04355,0.000116453,0.000116453,0.000116453
63,1440.87,0.64508,0.32671,0.92913,0.97768,0.98152,0.98595,0.75221,0.86256,0.35109,1.04235,0.000113543,0.000113543,0.000113543
64,1462.38,0.63881,0.3217,0.92839,0.97915,0.97926,0.98367,0.75334,0.86225,0.3546,1.04465,0.000110632,0.000110632,0.000110632
65,1483.62,0.62451,0.3192,0.92075,0.97786,0.97893,0.98279,0.7508,0.86297,0.35268,1.04373,0.000107722,0.000107722,0.000107722
66,1510.3,0.63558,0.31926,0.93138,0.9786,0.98006,0.98177,0.7446,0.86912,0.35448,1.04647,0.000104811,0.000104811,0.000104811
67,1531.68,0.62996,0.3168,0.92625,0.97927,0.97976,0.98317,0.74794,0.8732,0.35439,1.05225,0.0001019,0.0001019,0.0001019
68,1553,0.6316,0.31434,0.92539,0.9787,0.98245,0.98261,0.74501,0.87313,0.35167,1.04815,9.89898e-05,9.89898e-05,9.89898e-05
69,1574.32,0.63575,0.31814,0.92504,0.98172,0.98216,0.98188,0.74597,0.87546,0.34717,1.04919,9.60792e-05,9.60792e-05,9.60792e-05
70,1595.32,0.62316,0.31787,0.91955,0.97827,0.98295,0.9793,0.74804,0.87169,0.34959,1.04219,9.31686e-05,9.31686e-05,9.31686e-05
71,1617.68,0.61595,0.31204,0.91959,0.97999,0.98208,0.97811,0.74421,0.87817,0.35921,1.05271,9.0258e-05,9.0258e-05,9.0258e-05
72,1639.48,0.62693,0.30936,0.92268,0.98236,0.98355,0.98159,0.74981,0.87829,0.35983,1.04904,8.73474e-05,8.73474e-05,8.73474e-05
73,1661.38,0.61516,0.31033,0.92411,0.98135,0.9821,0.98176,0.75011,0.87431,0.3506,1.0495,8.44368e-05,8.44368e-05,8.44368e-05
74,1684.23,0.61235,0.3028,0.92012,0.97773,0.97818,0.9801,0.74681,0.86834,0.35136,1.04903,8.15262e-05,8.15262e-05,8.15262e-05
75,1705.31,0.59211,0.30304,0.91434,0.97678,0.98384,0.98496,0.74981,0.87443,0.35347,1.05654,7.86156e-05,7.86156e-05,7.86156e-05
76,1725.83,0.585,0.29647,0.90571,0.98181,0.98267,0.9818,0.75083,0.86841,0.34806,1.05636,7.5705e-05,7.5705e-05,7.5705e-05
77,1747.39,0.59,0.30019,0.90765,0.98163,0.98285,0.9799,0.74944,0.86837,0.34478,1.05585,7.27944e-05,7.27944e-05,7.27944e-05
