epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.621,1.14948,2.81093,1.19451,0.75013,0.78917,0.85491,0.57584,1.10876,1.29576,1.11581,9.61154e-05,9.61154e-05,9.61154e-05
2,79.1374,1.07779,0.92243,1.10764,0.90876,0.91879,0.95548,0.64422,1.08682,0.72169,1.12067,0.000192194,0.000192194,0.000192194
3,110.466,1.04622,0.74628,1.09169,0.93047,0.96055,0.97193,0.67316,1.01995,0.65294,1.10072,0.000286331,0.000286331,0.000286331
4,156.526,1.01511,0.65982,1.08727,0.94158,0.9635,0.97799,0.68898,0.99229,0.54778,1.08511,0.000285268,0.000285268,0.000285268
5,213.842,0.98523,0.60984,1.07127,0.94722,0.97318,0.98066,0.71177,0.94266,0.51817,1.06236,0.000282358,0.000282358,0.000282358
6,246.188,0.97609,0.59354,1.0676,0.9626,0.97164,0.97775,0.7063,0.96279,0.51618,1.07412,0.000279447,0.000279447,0.000279447
7,283.724,0.96894,0.57316,1.06248,0.95163,0.97082,0.97689,0.70315,0.95731,0.51529,1.06633,0.000276536,0.000276536,0.000276536
8,314.592,0.93308,0.54363,1.04899,0.96811,0.97859,0.98226,0.71699,0.94023,0.47925,1.06448,0.000273626,0.000273626,0.000273626
9,346.974,0.92381,0.54826,1.04914,0.95835,0.97433,0.9801,0.72105,0.92806,0.47508,1.05874,0.000270715,0.000270715,0.000270715
10,393.064,0.93792,0.52571,1.05924,0.96011,0.9659,0.97897,0.71817,0.94237,0.46364,1.0571,0.000267805,0.000267805,0.000267805
11,431.86,0.90541,0.50642,1.03752,0.96355,0.97285,0.98246,0.72841,0.90812,0.44661,1.04561,0.000264894,0.000264894,0.000264894
12,470.336,0.91355,0.50146,1.0398,0.96468,0.97567,0.98465,0.7315,0.91731,0.43788,1.04664,0.000261983,0.000261983,0.000261983
13,513.225,0.90757,0.50361,1.0374,0.95432,0.97026,0.9774,0.72781,0.9075,0.44609,1.04629,0.000259073,0.000259073,0.000259073
14,544.375,0.87712,0.48949,1.02351,0.9507,0.97627,0.98041,0.72934,0.91447,0.44365,1.05387,0.000256162,0.000256162,0.000256162
15,575.699,0.90356,0.51034,1.04778,0.96676,0.96682,0.9776,0.72839,0.91956,0.45067,1.05455,0.000253252,0.000253252,0.000253252
16,607.649,0.88842,0.4827,1.03474,0.97586,0.9774,0.98501,0.72747,0.91699,0.42105,1.04911,0.000250341,0.000250341,0.000250341
17,638.31,0.86501,0.46625,1.0274,0.94916,0.97882,0.97303,0.72888,0.89611,0.43033,1.04135,0.00024743,0.00024743,0.00024743
18,669.613,0.87703,0.47432,1.03039,0.96585,0.97656,0.98189,0.73656,0.89568,0.42841,1.04686,0.00024452,0.00024452,0.00024452
19,701.422,0.87613,0.48056,1.029,0.97022,0.97731,0.98302,0.73492,0.9061,0.42432,1.05201,0.000241609,0.000241609,0.000241609
20,740.142,0.87067,0.45946,1.02682,0.96799,0.97768,0.98018,0.73065,0.9219,0.41551,1.05128,0.000238699,0.000238699,0.000238699
21,770.883,0.86303,0.44198,1.01723,0.9732,0.97863,0.98283,0.73807,0.90451,0.40047,1.04266,0.000235788,0.000235788,0.000235788
22,809.758,0.85014,0.43689,1.01904,0.96727,0.97639,0.98313,0.741,0.89026,0.40337,1.04408,0.000232877,0.000232877,0.000232877
23,840.868,0.84123,0.43708,1.01501,0.97104,0.97627,0.98401,0.73337,0.90109,0.40641,1.0455,0.000229967,0.000229967,0.000229967
24,877.966,0.82401,0.42599,1.00364,0.97244,0.98247,0.984,0.73825,0.90759,0.39491,1.04937,0.000227056,0.000227056,0.000227056
25,909.851,0.83425,0.43545,1.00807,0.97188,0.97871,0.98191,0.73699,0.91028,0.40796,1.04665,0.000224146,0.000224146,0.000224146
26,940.455,0.83187,0.42944,1.00907,0.97129,0.98259,0.98317,0.74151,0.89723,0.40265,1.04493,0.000221235,0.000221235,0.000221235
27,973.004,0.80777,0.41715,0.99534,0.97448,0.97632,0.98259,0.73411,0.9068,0.39465,1.05575,0.000218324,0.000218324,0.000218324
28,1010.73,0.80719,0.41489,0.99137,0.97816,0.97682,0.98374,0.7379,0.89274,0.40151,1.04545,0.000215414,0.000215414,0.000215414
29,1041.94,0.81739,0.41804,1.00249,0.97098,0.97841,0.9783,0.73228,0.90331,0.39626,1.04737,0.000212503,0.000212503,0.000212503
30,1073.39,0.80601,0.41569,1.00399,0.97336,0.97389,0.98305,0.74578,0.88127,0.38705,1.0461,0.000209593,0.000209593,0.000209593
31,1105.06,0.79909,0.40882,0.99795,0.97555,0.97748,0.98184,0.74418,0.88423,0.38587,1.04694,0.000206682,0.000206682,0.000206682
32,1144.09,0.81432,0.42042,1.00984,0.96528,0.97894,0.97918,0.74112,0.8728,0.38582,1.03745,0.000203771,0.000203771,0.000203771
33,1174.98,0.78671,0.39875,0.99211,0.97092,0.97793,0.97443,0.73403,0.88627,0.39448,1.04783,0.000200861,0.000200861,0.000200861
